date,close,symbol
2016-08-10,58.02,MSFT
2016-08-11,58.3,MSFT
2016-08-12,57.94,MSFT
2016-08-15,58.12,MSFT
2016-08-16,57.44,MSFT
2016-08-17,57.56,MSFT
2016-08-18,57.6,MSFT
2016-08-19,57.62,MSFT
2016-08-22,57.67,MSFT
2016-08-23,57.89,MSFT
2016-08-24,57.95,MSFT
2016-08-25,58.17,MSFT
2016-08-26,58.03,MSFT
2016-08-29,58.1,MSFT
2016-08-30,57.89,MSFT
2016-08-31,57.46,MSFT
2016-09-01,57.59,MSFT
2016-09-02,57.67,MSFT
2016-09-06,57.61,MSFT
2016-09-07,57.66,MSFT
2016-09-08,57.43,MSFT
2016-09-09,56.21,MSFT
2016-09-12,57.05,MSFT
2016-09-13,56.53,MSFT
2016-09-14,56.26,MSFT
2016-09-15,57.19,MSFT
2016-09-16,57.25,MSFT
2016-09-19,56.93,MSFT
2016-09-20,56.81,MSFT
2016-09-21,57.76,MSFT
2016-09-22,57.82,MSFT
2016-09-23,57.43,MSFT
2016-09-26,56.9,MSFT
2016-09-27,57.95,MSFT
2016-09-28,58.03,MSFT
2016-09-29,57.4,MSFT
2016-09-30,57.6,MSFT
2016-10-03,57.42,MSFT
2016-10-04,57.24,MSFT
2016-10-05,57.64,MSFT
2016-10-06,57.74,MSFT
2016-10-07,57.8,MSFT
2016-10-10,58.04,MSFT
2016-10-11,57.19,MSFT
2016-10-12,57.11,MSFT
2016-10-13,56.92,MSFT
2016-10-14,57.42,MSFT
2016-10-17,57.22,MSFT
2016-10-18,57.66,MSFT
2016-10-19,57.53,MSFT
2016-10-20,57.25,MSFT
2016-10-21,59.66,MSFT
2016-10-24,61.0,MSFT
2016-10-25,60.99,MSFT
2016-10-26,60.63,MSFT
2016-10-27,60.1,MSFT
2016-10-28,59.87,MSFT
2016-10-31,59.92,MSFT
2016-11-01,59.8,MSFT
2016-11-02,59.43,MSFT
2016-11-03,59.21,MSFT
2016-11-04,58.71,MSFT
2016-11-07,60.42,MSFT
2016-11-08,60.47,MSFT
2016-11-09,60.17,MSFT
2016-11-10,58.7,MSFT
2016-11-11,59.02,MSFT
2016-11-14,58.12,MSFT
2016-11-15,58.87,MSFT
2016-11-16,59.65,MSFT
2016-11-17,60.64,MSFT
2016-11-18,60.35,MSFT
2016-11-21,60.86,MSFT
2016-11-22,61.12,MSFT
2016-11-23,60.4,MSFT
2016-11-25,60.53,MSFT
2016-11-28,60.61,MSFT
2016-11-29,61.09,MSFT
2016-11-30,60.26,MSFT
2016-12-01,59.2,MSFT
2016-12-02,59.25,MSFT
2016-12-05,60.22,MSFT
2016-12-06,59.95,MSFT
2016-12-07,61.37,MSFT
2016-12-08,61.01,MSFT
2016-12-09,61.97,MSFT
2016-12-12,62.17,MSFT
2016-12-13,62.98,MSFT
2016-12-14,62.68,MSFT
2016-12-15,62.58,MSFT
2016-12-16,62.3,MSFT
2016-12-19,63.62,MSFT
2016-12-20,63.54,MSFT
2016-12-21,63.54,MSFT
2016-12-22,63.55,MSFT
2016-12-23,63.24,MSFT
2016-12-27,63.28,MSFT
2016-12-28,62.99,MSFT
2016-12-29,62.9,MSFT
2016-12-30,62.14,MSFT
2017-01-03,62.58,MSFT
2017-01-04,62.3,MSFT
2017-01-05,62.3,MSFT
2017-01-06,62.84,MSFT
2017-01-09,62.64,MSFT
2017-01-10,62.62,MSFT
2017-01-11,63.19,MSFT
2017-01-12,62.61,MSFT
2017-01-13,62.7,MSFT
2017-01-17,62.53,MSFT
2017-01-18,62.5,MSFT
2017-01-19,62.3,MSFT
2017-01-20,62.74,MSFT
2017-01-23,62.96,MSFT
2017-01-24,63.52,MSFT
